Date;STOXX50E
22/6/17;-12,080078
23/6/17;18,080078
26/6/17;-23,439942
27/6/17;-2,620117
28/6/17;-64,369873
29/6/17;-29,450195
30/6/17;49,930176
3/7/17;-12,340088
4/7/17;-1,060059
5/7/17;-16,349853
6/7/17;1,780029
7/7/17;14,219971
10/7/17;-13,580079
11/7/17;50,75
12/7/17;12,600098
13/7/17;-1,890137
14/7/17;-9,589843
17/7/17;-37,670166
18/7/17;21,600097
19/7/17;-0,790039
20/7/17;-47,780029
21/7/17;1,459961
24/7/17;20,370117
25/7/17;17,649902
26/7/17;1,949952
27/7/17;-25,409913
28/7/17;-18,369873
31/7/17;9,959961
2/8/17;7,050049
3/8/17;41,039795
4/8/17;-1,609863
7/8/17;9,829834
8/8/17;-47,179932
9/8/17;-34,909912
10/8/17;-27,199951
11/8/17;44,319824
14/8/17;11,25
15/8/17;22,660156
16/8/17;-22,600097
17/8/17;-15,939942
18/8/17;-22,5
21/8/17;32,060059
22/8/17;-16,960205
23/8/17;6,100097
24/8/17;-6,179931
25/8/17;-17,52002
28/8/17;-32,810058
29/8/17;15,48999
30/8/17;17,76001
31/8/17;22,409912
1/9/17;-13,459961
4/9/17;-9,559815
5/9/17;12,939942
6/9/17;13,859863
7/9/17;0,030029
8/9/17;47,5
11/9/17;17,370118
12/9/17;10,579834
13/9/17;3,340087
14/9/17;-10,929931
15/9/17;11,189941
18/9/17;4,439942
19/9/17;-5,629883
20/9/17;14,040039
21/9/17;1,829834
22/9/17;-3,609863
25/9/17;-1,430176
26/9/17;18,790039
27/9/17;8,469971
28/9/17;31,210205
29/9/17;7,839843
2/10/17;3,040039
3/10/17;-10,820068
4/10/17;nan
5/10/17;nan
6/10/17;7,179932
9/10/17;-11,709961
10/10/17;8,599854
11/10/17;-1,849854
12/10/17;-0,98999
13/10/17;1,719971
16/10/17;1,5
17/10/17;11,879882
18/10/17;-17,569824
19/10/17;3,01001
20/10/17;3,780029
23/10/17;1,819824
24/10/17;-19,22998
25/10/17;45,73999
26/10/17;15,030029
27/10/17;9,949952
30/10/17;11,770019
31/10/17;23,449951
1/11/17;-8,599853
2/11/17;1,159912
3/11/17;-7,599854
6/11/17;-23,590087
7/11/17;-3,729981
8/11/17;-42,540039
9/11/17;-18,73999
10/11/17;-19,23999
13/11/17;-18,140137
14/11/17;-10,659912
15/11/17;19,080078
16/11/17;-17,340088
17/11/17;13,949951
20/11/17;17,910156
21/11/17;-16,670166
22/11/17;9,420166
23/11/17;9,159912
24/11/17;-17,20996
27/11/17;19,46997
28/11/17;6,419922
29/11/17;-19,97998
30/11/17;-42,379883
1/12/17;48,669922
4/12/17;-5,649903
5/12/17;-9
6/12/17;11,559815
7/12/17;18,320068
8/12/17;-9,23999
11/12/17;18,140137
12/12/17;-18,600098
13/12/17;-25,530029
14/12/17;4,310058
15/12/17;48,889893
18/12/17;-27,199951
19/12/17;-29,560059
20/12/17;18,120117
21/12/17;-17,390136
22/12/17;-3,219971
27/12/17;-25,859863
28/12/17;-20,350098
29/12/17;5,919922
3/1/18;59
4/1/18;38,75
5/1/18;8,820068
8/1/18;6,420166
9/1/18;-13,040039
10/1/18;-14,590088
11/1/18;17,370117
12/1/18;-0,800048
15/1/18;10,199951
16/1/18;-9,229981
17/1/18;8,129883
18/1/18;28,160156
19/1/18;16,209961
22/1/18;7,01001
23/1/18;-29,070068
24/1/18;-13,070069
25/1/18;17,26001
26/1/18;-4,369873
29/1/18;-36,290039
30/1/18;2,540039
31/1/18;-31,939941
1/2/18;-54,070069
2/2/18;-44,510009
5/2/18;-83,850098
6/2/18;59,600098
7/2/18;-77,219971
8/2/18;-51,310059
9/2/18;42,26001
12/2/18;-27,320068
13/2/18;28,900146
14/2/18;19,799805
15/2/18;37,170166
16/2/18;-19,01001
19/2/18;27,290039
20/2/18;-4,920166
21/2/18;1,830078
22/2/18;9,469971
23/2/18;21,719971
26/2/18;-5,149903
27/2/18;-19,070068
28/2/18;-39,800049
1/3/18;-74,409912
2/3/18;30,570068
5/3/18;2,540039
6/3/18;19,5
7/3/18;35,919922
8/3/18;7,26001
9/3/18;8,939941
12/3/18;-32,129882
13/3/18;-6,370118
14/3/18;23,149903
15/3/18;23,270019
16/3/18;-42,609863
19/3/18;17,290039
20/3/18;-11,040039
21/3/18;-52,850098
22/3/18;-50,119873
23/3/18;-19,350097
26/3/18;38,22998
27/3/18;14,300049
28/3/18;30,25
29/3/18;-14,570068
3/4/18;-6,579834
4/4/18;89,599853
5/4/18;-21,849853
6/4/18;6,75
9/4/18;23,929931
10/4/18;-19,070068
11/4/18;24,26001
12/4/18;4,030029
13/4/18;-6,959961
16/4/18;36,869873
17/4/18;12,979981
18/4/18;-4,289795
19/4/18;7,599853
20/4/18;18,860108
23/4/18;-2,180176
24/4/18;-25,049805
25/4/18;20,199951
26/4/18;12,75
27/4/18;17,739991
30/4/18;17,270019
2/5/18;-24,669922
3/5/18;21,469971
4/5/18;13,599853
7/5/18;-6,310058
8/5/18;11,860107
9/5/18;-4,21997
11/5/18;0,21997
14/5/18;-1,449951
15/5/18;-1,439941
16/5/18;29,329834
17/5/18;-18,419922
18/5/18;13,48999
22/5/18;-45,429932
23/5/18;-20,060058
24/5/18;-6,399903
25/5/18;-32,720214
28/5/18;-54,5
29/5/18;13,050048
30/5/18;-34,540039
31/5/18;46,890137
1/6/18;16,030029
4/6/18;-12,780029
5/6/18;4,030029
6/6/18;-1,050048
7/6/18;-12,469971
8/6/18;32,919922
11/6/18;-4,639893
12/6/18;3,979981
13/6/18;47,550048
14/6/18;-22,090087
15/6/18;-38,370118
18/6/18;-31,349853
19/6/18;4,300049
20/6/18;-36,090088
21/6/18;38,090088
22/6/18;-72,390137
25/6/18;-0,48999
26/6/18;28,409912
27/6/18;-31,609863
28/6/18;30,080078
29/6/18;-23,390137
2/7/18;34,130127
3/7/18;5,689941
4/7/18;28,889893
5/7/18;7,570068
6/7/18;11,949951
9/7/18;12,870118
10/7/18;-50,959961
11/7/18;23,139892
12/7/18;9,050049
13/7/18;-5,459961
16/7/18;8,419922
17/7/18;27,580078
18/7/18;-13,440185
19/7/18;-11,609864
20/7/18;-5,97998
23/7/18;29,26001
24/7/18;-14,860108
25/7/18;40,810059
26/7/18;17,919922
27/7/18;-14,869873
30/7/18;13,179931
31/7/18;-56,280029
2/8/18;13,189941
3/8/18;0,900147
6/8/18;21,070068
7/8/18;-10,770019
8/8/18;0,539795
9/8/18;-67,859864
10/8/18;-16,600097
13/8/18;-0,239991
14/8/18;-50,359863
15/8/18;18,479981
16/8/18;-4,620118
17/8/18;20,729981
20/8/18;17,98999
21/8/18;8,52002
22/8/18;-0,919922
23/8/18;8,179931
24/8/18;28,570069
27/8/18;-8,439942
28/8/18;8,559815
29/8/18;-25,139893
30/8/18;-38,090088
31/8/18;2,090088
3/9/18;-35,629883
4/9/18;-43,73999
5/9/18;-19,670166
6/9/18;-2,589844
7/9/18;15,919922
10/9/18;2,379883
11/9/18;14,940186
12/9/18;7,079834
13/9/18;10,949951
14/9/18;1,480224
17/9/18;12,349854
18/9/18;10,100098
19/9/18;34,560058
20/9/18;27,689942
21/9/18;-20,370118
24/9/18;9,340088
25/9/18;13,369873
26/9/18;16,640137
27/9/18;-50,590088
28/9/18;14,959961
1/10/18;-25,169922
2/10/18;16,48999
3/10/18;-30,399902
4/10/18;-29,570068
5/10/18;-35,790039
8/10/18;12,070068
9/10/18;-54,890137
10/10/18;-57,709961
11/10/18;-14,780029
12/10/18;15,960205
15/10/18;46,969971
16/10/18;-14,26001
17/10/18;-31,48999
18/10/18;-0,77002
19/10/18;-20,72998
22/10/18;-49,150147
23/10/18;-10,609863
24/10/18;34,069824
25/10/18;-29,510009
26/10/18;20,040039
29/10/18;-7,800049
30/10/18;50,380127
31/10/18;6,699951
1/11/18;10,199951
2/11/18;2,960205
5/11/18;nan
6/11/18;nan
7/11/18;-8,559814
8/11/18;nan
9/11/18;nan
12/11/18;nan
13/11/18;nan
14/11/18;nan
15/11/18;nan
16/11/18;nan
19/11/18;-44,26001
20/11/18;37,839844
21/11/18;-27,23999
22/11/18;nan
23/11/18;nan
26/11/18;-6,290039
27/11/18;nan
28/11/18;nan
29/11/18;-1,030029
30/11/18;nan
3/12/18;nan
4/12/18;-38,97998
5/12/18;-104,330079
6/12/18;12,590088
7/12/18;-41,540039
10/12/18;38,330078
11/12/18;52,649903
12/12/18;4,199951
13/12/18;-19,569824
14/12/18;-28,950196
17/12/18;-23,529785
18/12/18;11,259766
19/12/18;nan
20/12/18;nan
21/12/18;-63,25
27/12/18;nan
28/12/18;nan
