Date,Open,High,Low,Close,Adj Close,Volume
2014-12-05,1413.800049,1438.640015,1413.520020,1438.260010,1438.260010,0
2014-12-08,1442.540039,1442.540039,1428.140015,1428.439941,1428.439941,0
2014-12-09,1423.400024,1428.369995,1394.750000,1395.420044,1395.420044,0
2014-12-10,1398.520020,1407.140015,1387.150024,1388.900024,1388.900024,0
2014-12-11,1383.719971,1394.339966,1378.520020,1389.699951,1389.699951,0
2014-12-12,1389.880005,1390.050049,1352.199951,1352.770020,1352.770020,0
2014-12-15,1356.140015,1363.709961,1320.400024,1321.260010,1321.260010,0
2014-12-16,1323.069946,1346.979980,1303.689941,1346.579956,1346.579956,0
2014-12-17,1349.010010,1351.920044,1331.579956,1348.060059,1348.060059,0
2014-12-18,1359.010010,1389.079956,1347.619995,1388.469971,1388.469971,0
2014-12-19,1388.869995,1399.250000,1379.680054,1393.650024,1393.650024,0
2014-12-22,1389.849976,1406.880005,1389.849976,1399.689941,1399.689941,0
2014-12-23,1402.319946,1408.630005,1399.560059,1408.199951,1408.199951,0
2014-12-24,1407.209961,1409.650024,1405.969971,1408.060059,1408.060059,0
2014-12-26,null,null,null,null,null,null
2014-12-29,1408.689941,1413.219971,1396.189941,1409.900024,1409.900024,0
2014-12-30,1411.349976,1411.349976,1394.959961,1395.560059,1395.560059,0
2014-12-31,1397.739990,1402.140015,1396.160034,1401.410034,1401.410034,0
2015-01-02,1407.000000,1410.540039,1391.689941,1396.180054,1396.180054,0
2015-01-05,1403.130005,1403.130005,1363.369995,1365.239990,1365.239990,0
2015-01-06,1362.380005,1373.459961,1351.510010,1354.760010,1354.760010,0
2015-01-07,1360.569946,1371.750000,1355.209961,1361.729980,1361.729980,0
2015-01-08,1361.900024,1403.489990,1361.630005,1401.400024,1401.400024,0
2015-01-09,1403.829956,1403.829956,1374.060059,1381.060059,1381.060059,0
2015-01-12,1378.209961,1396.459961,1374.969971,1389.680054,1389.680054,0
2015-01-13,1388.329956,1412.790039,1382.079956,1408.630005,1408.630005,0
2015-01-14,1405.060059,1409.140015,1380.569946,1386.780029,1386.780029,0
